rule_id, collapses, edges_approx, total_cost, rule_details
4, 289, 2, 28254, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1125)  ('type_1'  'type_1')  ('type_1'  291)  (33  1922)  (1385  33)  (1922  1832)  (291  1385)  (1832  1125)]
3, 83, 20, 24835, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1832)  ('type_1'  'type_1')  ('type_1'  291)  (33  1922)  (1385  33)  (1922  1832)  (291  1385)]
8181, 23, 0, 23310, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  687)  ('type_1'  'type_1')  ('type_1'  687)  (26  1506)  (1506  2399)  (1758  26)  (687  2399)  (2399  2835)  (2835  1758)]
8153, 17, 0, 22428, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1758)  ('type_1'  'type_1')  ('type_1'  2399)  (26  1506)  (1506  2399)  (1758  26)  (2399  2835)  (2835  1758)]
2, 101, 37, 19663, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1832)  ('type_1'  'type_1')  ('type_1'  1385)  (33  1922)  (1385  33)  (1922  1832)]
20, 7, 0, 19432, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  355)  ('type_1'  'type_1')  ('type_1'  169)  (169  355)  (662  169)  (542  569)  (569  662)]
1, 54, 0, 18665, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1922)  ('type_1'  'type_1')  ('type_1'  1385)  (33  1922)  (1385  33)]
35, 20, 0, 18408, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1960)  ('type_1'  'type_1')  ('type_1'  1960)  (1960  406)  (2094  406)]
20, 1, 0, 18377, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  355)  ('type_1'  'type_1')  ('type_1'  169)  (169  355)  (662  169)  (542  569)  (569  662)]
16, 6, 0, 18256, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  355)  ('type_1'  'type_1')  ('type_1'  169)  (169  355)  (662  169)  (569  662)]
816, 13, 3, 18113, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
73, 13, 0, 17961, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1431)  ('type_1'  'type_1')  ('type_1'  2697)  (1431  1287)  (2697  1431)]
16, 1, 0, 17944, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  355)  ('type_1'  'type_1')  ('type_1'  169)  (169  355)  (662  169)  (569  662)]
840, 7, 0, 17882, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  889)  ('type_1'  'type_1')  ('type_1'  889)  (852  889)  (889  1240)]
0, 36, 0, 17879, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
816, 2, 0, 17861, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
0, 19, 0, 17854, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
816, 2, 0, 17836, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
0, 13, 0, 17835, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
816, 2, 0, 17817, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
0, 26, 2, 17807, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
840, 2, 0, 17789, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  889)  ('type_1'  'type_1')  ('type_1'  889)  (852  889)  (889  1240)]
10051, 23, 0, 17500, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  111)  ('type_1'  'type_1')  ('type_1'  111)  (111  754)  (754  111)]
5, 11, 0, 17522, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2429)  ('type_1'  'type_1')  ('type_1'  2429)  (2429  2343)]
816, 2, 0, 17504, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
5, 10, 0, 17506, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2429)  ('type_1'  'type_1')  ('type_1'  2429)  (2429  2343)]
35, 2, 0, 17488, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1960)  ('type_1'  'type_1')  ('type_1'  1960)  (1960  406)  (2094  406)]
5, 4, 0, 17496, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2429)  ('type_1'  'type_1')  ('type_1'  2429)  (2429  2343)]
2, 1, 0, 17479, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1832)  ('type_1'  'type_1')  ('type_1'  1385)  (33  1922)  (1385  33)  (1922  1832)]
13585, 5, 0, 17382, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2608)  ('type_1'  'type_1')  ('type_1'  213)  (213  2468)  (2468  213)  (2608  2468)]
0, 19, 8, 17391, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
816, 2, 0, 17373, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
5, 6, 0, 17379, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2429)  ('type_1'  'type_1')  ('type_1'  2429)  (2429  2343)]
35, 3, 0, 17346, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1960)  ('type_1'  'type_1')  ('type_1'  1960)  (1960  406)  (2094  406)]
25, 18, 0, 17361, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  169)  ('type_1'  'type_1')  ('type_1'  169)  (662  169)]
0, 60, 39, 17391, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
816, 2, 0, 17373, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
5, 8, 0, 17377, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2429)  ('type_1'  'type_1')  ('type_1'  2429)  (2429  2343)]
10051, 12, 0, 17221, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  111)  ('type_1'  'type_1')  ('type_1'  111)  (111  754)  (754  111)]
35, 2, 0, 17203, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1960)  ('type_1'  'type_1')  ('type_1'  1960)  (1960  406)  (2094  406)]
0, 13, 10, 17222, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
816, 2, 0, 17204, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
25, 8, 0, 17208, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  169)  ('type_1'  'type_1')  ('type_1'  169)  (662  169)]
5, 10, 0, 17210, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2429)  ('type_1'  'type_1')  ('type_1'  2429)  (2429  2343)]
2, 2, 1, 17167, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1832)  ('type_1'  'type_1')  ('type_1'  1385)  (33  1922)  (1385  33)  (1922  1832)]
816, 1, 0, 17164, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
0, 3, 0, 17173, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
10051, 2, 0, 17157, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  111)  ('type_1'  'type_1')  ('type_1'  111)  (111  754)  (754  111)]
816, 1, 0, 17154, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
116, 4, 3, 17100, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1877)  ('type_1'  'type_1')  ('type_1'  999)  (467  1164)  (467  1877)  (999  1164)]
816, 2, 2, 17088, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
0, 2, 0, 17098, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
13585, 1, 0, 17082, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2608)  ('type_1'  'type_1')  ('type_1'  213)  (213  2468)  (2468  213)  (2608  2468)]
816, 2, 2, 17070, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2477)  ('type_1'  'type_1')  ('type_1'  1422)  (2070  1422)  (2477  2070)]
0, 2, 0, 17080, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  33)  ('type_1'  'type_1')  ('type_1'  1385)  (1385  33)]
