rule_id, collapses, edges_approx, total_cost, rule_details
14, 648, 0, 40187, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1697)  ('type_1'  'type_1')  ('type_1'  4470)  (688  1697)  (3377  688)  (4588  3377)  (4470  4534)  (4534  4588)]
233, 293, 1, 18303, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4216)  ('type_1'  'type_1')  ('type_1'  4216)  (213  437)  (437  797)  (648  213)  (797  3953)  (4216  437)  (3953  648)]
14, 14, 0, 17462, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1697)  ('type_1'  'type_1')  ('type_1'  4470)  (688  1697)  (3377  688)  (4588  3377)  (4470  4534)  (4534  4588)]
233, 30, 0, 15225, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4216)  ('type_1'  'type_1')  ('type_1'  4216)  (213  437)  (437  797)  (648  213)  (797  3953)  (4216  437)  (3953  648)]
14, 3, 0, 15055, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1697)  ('type_1'  'type_1')  ('type_1'  4470)  (688  1697)  (3377  688)  (4588  3377)  (4470  4534)  (4534  4588)]
233, 7, 0, 14543, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4216)  ('type_1'  'type_1')  ('type_1'  4216)  (213  437)  (437  797)  (648  213)  (797  3953)  (4216  437)  (3953  648)]
14, 1, 0, 14495, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1697)  ('type_1'  'type_1')  ('type_1'  4470)  (688  1697)  (3377  688)  (4588  3377)  (4470  4534)  (4534  4588)]
233, 1, 0, 14433, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  4216)  ('type_1'  'type_1')  ('type_1'  4216)  (213  437)  (437  797)  (648  213)  (797  3953)  (4216  437)  (3953  648)]
2, 2, 0, 14426, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  3643)  ('type_1'  'type_1')  ('type_1'  2525)  (2525  3215)  (3215  4956)  (4956  3643)]
569, 2, 0, 14431, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (362  415)  (415  362)]
Basic edge list: 79602 bits
Final compression: 14431 bits (18.128941483882315 percent)
Best compression: 14426 bits (18.12266023466747 percent) occurred with 4991 of 4999 nodes compressed (99.83996799359872 percent)

real	14m55.960s
user	14m56.695s
sys	0m1.812s
